checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Low,36,critical/other existing credit,furniture/equipment,6229,Low,Amateur,4,female div/dep/mar,4,no known property,23,rent,2,unskilled resident,1,yes,0
Medium,9,existing paid,business,1391,Low,Professional,2,male mar/wid,1,real estate,27,own,1,skilled,1,yes,1
Medium,15,critical/other existing credit,radio/tv,1537,No Savings,Expert,4,male single,4,real estate,50,own,2,skilled,1,yes,1
Medium,36,no credits/all paid,business,1953,Low,Expert,4,male single,4,no known property,61,for free,1,high qualif/self emp/mgmt,1,yes,0
Medium,48,no credits/all paid,business,14421,Low,Professional,2,male single,2,car,25,own,1,skilled,1,yes,0
No Checking,24,existing paid,radio/tv,3181,Low,Amateur,4,female div/dep/mar,4,life insurance,26,own,1,skilled,1,yes,1
No Checking,27,existing paid,repairs,5190,No Savings,Expert,4,male single,4,life insurance,48,own,4,skilled,2,yes,1
No Checking,12,existing paid,radio/tv,2171,Low,Amateur,2,female div/dep/mar,2,car,29,own,1,skilled,1,yes,1
Medium,12,existing paid,new car,1007,High,Professional,4,male mar/wid,1,real estate,22,own,1,skilled,1,yes,1
No Checking,36,existing paid,education,1819,Low,Professional,4,male single,4,no known property,37,for free,1,skilled,1,yes,0
No Checking,36,existing paid,radio/tv,2394,No Savings,Professional,4,female div/dep/mar,4,car,25,own,1,skilled,1,yes,1
No Checking,36,existing paid,used car,8133,Low,Professional,1,female div/dep/mar,2,life insurance,30,own,1,skilled,1,yes,1
No Checking,7,critical/other existing credit,radio/tv,730,No Savings,Expert,4,male single,2,life insurance,46,rent,2,unskilled resident,1,yes,1
Low,8,critical/other existing credit,other,1164,Low,Expert,3,male single,4,no known property,51,for free,2,high qualif/self emp/mgmt,2,yes,1
Medium,42,critical/other existing credit,business,5954,Low,Experienced,2,female div/dep/mar,1,real estate,41,own,2,unskilled resident,1,yes,1
Low,36,existing paid,education,1977,No Savings,Expert,4,male single,4,no known property,40,own,1,high qualif/self emp/mgmt,1,yes,0
Low,12,critical/other existing credit,used car,1526,Low,Expert,4,male single,4,no known property,66,for free,2,high qualif/self emp/mgmt,1,yes,1
Low,42,existing paid,radio/tv,3965,Low,Amateur,4,male single,3,car,34,own,1,skilled,1,yes,0
Medium,11,delayed previously,radio/tv,4771,Low,Experienced,2,male single,4,life insurance,51,own,1,skilled,1,yes,1
No Checking,54,no credits/all paid,used car,9436,No Savings,Professional,2,male single,2,life insurance,39,own,1,unskilled resident,2,yes,1
Medium,30,existing paid,furniture/equipment,3832,Low,Amateur,2,male mar/wid,1,life insurance,22,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,5943,No Savings,Amateur,1,female div/dep/mar,1,car,44,own,2,skilled,1,yes,0
No Checking,15,existing paid,radio/tv,1213,High,Expert,4,male single,3,life insurance,47,own,1,skilled,1,yes,1
No Checking,18,existing paid,business,1568,Medium,Professional,3,female div/dep/mar,4,life insurance,24,rent,1,unskilled resident,1,yes,1
Low,24,existing paid,other,1755,Low,Expert,4,female div/dep/mar,4,real estate,58,own,1,unskilled resident,1,yes,1
Low,10,existing paid,radio/tv,2315,Low,Expert,3,male single,4,real estate,52,own,1,unskilled resident,1,yes,1
No Checking,12,critical/other existing credit,business,1412,Low,Professional,4,female div/dep/mar,2,real estate,29,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,18,critical/other existing credit,furniture/equipment,1295,Low,Amateur,4,female div/dep/mar,1,life insurance,27,own,2,skilled,1,yes,1
Medium,36,existing paid,education,12612,Medium,Professional,1,male single,4,no known property,47,for free,1,skilled,2,yes,0
Low,18,existing paid,new car,2249,Medium,Experienced,4,male single,3,car,30,own,1,high qualif/self emp/mgmt,2,yes,1
Low,12,no credits/all paid,repairs,1108,Low,Experienced,4,male single,3,real estate,28,own,2,skilled,1,yes,0
No Checking,12,critical/other existing credit,radio/tv,618,Low,Expert,4,male single,4,real estate,56,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,used car,1409,Low,Expert,4,male single,3,real estate,54,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,797,No Savings,Expert,4,female div/dep/mar,3,life insurance,33,own,1,unskilled resident,2,yes,0
High,24,critical/other existing credit,furniture/equipment,3617,No Savings,Expert,4,male single,4,no known property,20,rent,2,skilled,1,yes,1
Medium,12,existing paid,new car,1318,High,Expert,4,male single,4,real estate,54,own,1,skilled,1,yes,1
Medium,54,no credits/all paid,business,15945,Low,Amateur,3,male single,4,no known property,58,rent,1,skilled,1,yes,0
No Checking,12,critical/other existing credit,education,2012,No Savings,Experienced,4,female div/dep/mar,2,car,61,own,1,skilled,1,yes,1
Medium,18,existing paid,business,2622,Medium,Professional,4,male single,4,car,34,own,1,skilled,1,yes,1
Medium,36,critical/other existing credit,radio/tv,2337,Low,Expert,4,male single,4,real estate,36,own,1,skilled,1,yes,1
Medium,20,delayed previously,used car,7057,No Savings,Experienced,3,male single,4,life insurance,36,rent,2,high qualif/self emp/mgmt,2,yes,1
No Checking,24,existing paid,new car,1469,Medium,Expert,4,male mar/wid,4,real estate,41,rent,1,unskilled resident,1,yes,1
Medium,36,existing paid,radio/tv,2323,Low,Experienced,4,male single,4,car,24,rent,1,skilled,1,yes,1
No Checking,6,delayed previously,radio/tv,932,Low,Professional,3,female div/dep/mar,2,real estate,24,own,1,skilled,1,yes,1
Medium,9,critical/other existing credit,furniture/equipment,1919,Low,Experienced,4,male single,3,car,35,rent,1,skilled,1,yes,1
No Checking,12,existing paid,used car,2445,No Savings,Amateur,2,male mar/wid,4,car,26,rent,1,skilled,1,yes,1
Medium,24,critical/other existing credit,other,11938,Low,Professional,2,male single,3,car,39,own,2,high qualif/self emp/mgmt,2,yes,0
No Checking,18,all paid,new car,6458,Low,Expert,2,male single,4,no known property,39,own,2,high qualif/self emp/mgmt,2,yes,0
Medium,12,existing paid,new car,6078,Low,Experienced,2,male single,2,car,32,own,1,skilled,1,yes,1
Low,24,existing paid,furniture/equipment,7721,No Savings,Amateur,1,female div/dep/mar,2,life insurance,30,own,1,skilled,1,no,1
Medium,14,existing paid,business,1410,High,Expert,1,male mar/wid,2,real estate,35,own,1,skilled,1,yes,1
Medium,6,delayed previously,business,1449,Medium,Expert,1,male div/sep,2,car,31,own,2,skilled,2,yes,1
High,15,existing paid,education,392,Low,Amateur,4,female div/dep/mar,4,life insurance,23,rent,1,skilled,1,yes,1
Medium,18,existing paid,new car,6260,Low,Experienced,3,male single,3,real estate,28,rent,1,unskilled resident,1,yes,1
No Checking,36,critical/other existing credit,new car,7855,Low,Professional,4,female div/dep/mar,2,real estate,25,own,2,skilled,1,yes,0
Low,12,existing paid,radio/tv,1680,High,Expert,3,male mar/wid,1,real estate,35,own,1,skilled,1,yes,1
No Checking,48,critical/other existing credit,radio/tv,3578,No Savings,Expert,4,male single,1,real estate,47,own,1,skilled,1,yes,1
Low,42,existing paid,radio/tv,7174,No Savings,Experienced,4,female div/dep/mar,3,car,30,own,1,high qualif/self emp/mgmt,1,yes,0
Low,10,critical/other existing credit,furniture/equipment,2132,No Savings,Amateur,2,female div/dep/mar,3,real estate,27,rent,2,skilled,1,no,1
Low,33,critical/other existing credit,furniture/equipment,4281,High,Professional,1,female div/dep/mar,4,car,23,own,2,skilled,1,yes,0
Medium,12,critical/other existing credit,new car,2366,High,Experienced,3,male div/sep,3,car,36,own,1,high qualif/self emp/mgmt,1,yes,1
Low,21,existing paid,radio/tv,1835,Low,Professional,3,female div/dep/mar,2,real estate,25,own,2,skilled,1,yes,0
No Checking,24,critical/other existing credit,used car,3868,Low,Expert,4,female div/dep/mar,2,car,41,rent,2,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,furniture/equipment,1768,Low,Professional,3,male single,2,real estate,24,rent,1,unskilled resident,1,yes,1
High,10,critical/other existing credit,new car,781,Low,Expert,4,male single,4,no known property,63,for free,2,skilled,1,yes,1
Medium,18,existing paid,furniture/equipment,1924,No Savings,Amateur,4,female div/dep/mar,3,real estate,27,rent,1,skilled,1,yes,0
Low,12,critical/other existing credit,new car,2121,Low,Professional,4,male single,2,life insurance,30,own,2,skilled,1,yes,1
Low,12,existing paid,radio/tv,701,Low,Professional,4,male mar/wid,2,real estate,40,own,1,unskilled resident,1,yes,1
Medium,12,existing paid,repairs,639,Low,Professional,4,male single,2,car,30,own,1,skilled,1,yes,0
Medium,12,critical/other existing credit,used car,1860,Low,Unemployed,4,male single,2,car,34,own,2,high qualif/self emp/mgmt,1,yes,1
Low,12,critical/other existing credit,new car,3499,Low,Professional,3,female div/dep/mar,2,real estate,29,own,2,skilled,1,yes,0
Medium,48,existing paid,new car,8487,No Savings,Experienced,1,female div/dep/mar,2,car,24,own,1,skilled,1,yes,1
Low,36,delayed previously,education,6887,Low,Professional,4,male single,3,life insurance,29,own,1,skilled,1,yes,0
No Checking,15,existing paid,furniture/equipment,2708,Low,Amateur,2,male single,3,life insurance,27,own,2,unskilled resident,1,yes,1
No Checking,18,existing paid,furniture/equipment,1984,Low,Professional,4,male single,4,no known property,47,for free,2,skilled,1,yes,1
No Checking,60,existing paid,radio/tv,10144,Medium,Experienced,2,female div/dep/mar,4,real estate,21,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,1240,No Savings,Expert,4,female div/dep/mar,2,real estate,38,own,2,skilled,1,yes,1
No Checking,27,delayed previously,used car,8613,High,Professional,2,male single,2,car,27,own,2,skilled,1,yes,1
Medium,12,existing paid,radio/tv,766,High,Professional,4,male single,3,real estate,66,own,1,unskilled resident,1,yes,0
Medium,15,critical/other existing credit,radio/tv,2728,No Savings,Experienced,4,male single,2,real estate,35,own,3,skilled,1,yes,1
High,12,existing paid,radio/tv,1881,Low,Professional,2,female div/dep/mar,2,car,44,rent,1,unskilled resident,1,yes,1
High,6,existing paid,new car,709,High,Amateur,2,male mar/wid,2,real estate,27,own,1,unemp/unskilled non res,1,no,1
Medium,36,existing paid,radio/tv,4795,Low,Amateur,4,female div/dep/mar,1,no known property,30,own,1,high qualif/self emp/mgmt,1,yes,1
Low,27,existing paid,radio/tv,3416,Low,Professional,3,male single,2,car,27,own,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,furniture/equipment,2462,Low,Professional,2,male single,2,car,22,own,1,skilled,1,yes,0
No Checking,21,critical/other existing credit,furniture/equipment,2288,Low,Amateur,4,female div/dep/mar,4,life insurance,23,own,1,skilled,1,yes,1
Medium,48,all paid,business,3566,Medium,Experienced,4,male single,2,car,30,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,new car,860,Low,Expert,1,female div/dep/mar,4,no known property,39,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,new car,682,Medium,Experienced,4,female div/dep/mar,3,car,51,own,2,skilled,1,yes,1
Low,36,critical/other existing credit,furniture/equipment,5371,Low,Professional,3,male single,2,life insurance,28,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1582,High,Expert,4,male single,4,car,46,own,2,skilled,1,yes,1
No Checking,6,existing paid,radio/tv,1346,Medium,Expert,2,male single,4,no known property,42,for free,1,skilled,2,yes,1
No Checking,10,existing paid,radio/tv,1924,Low,Professional,1,male single,4,life insurance,38,own,1,skilled,1,no,1
High,36,existing paid,radio/tv,5848,Low,Professional,4,male single,1,car,24,own,1,skilled,1,yes,1
Medium,24,critical/other existing credit,used car,7758,High,Expert,2,female div/dep/mar,4,no known property,29,rent,1,skilled,1,yes,1
Medium,24,delayed previously,business,6967,Medium,Experienced,4,male single,4,car,36,rent,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,furniture/equipment,1282,Low,Professional,2,female div/dep/mar,4,car,20,rent,1,skilled,1,yes,0
Low,9,critical/other existing credit,repairs,1288,Medium,Expert,3,male single,4,real estate,48,own,2,skilled,2,no,1
Low,12,all paid,retraining,339,Low,Expert,4,male mar/wid,1,car,45,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,new car,3512,Medium,Experienced,2,male single,3,car,38,own,2,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1898,No Savings,Professional,1,male single,2,real estate,34,own,2,unskilled resident,2,yes,1
No Checking,24,critical/other existing credit,radio/tv,2872,Medium,Expert,3,male single,4,real estate,36,own,1,skilled,2,yes,1
No Checking,18,critical/other existing credit,new car,1055,Low,Amateur,4,female div/dep/mar,1,life insurance,30,own,2,skilled,1,yes,1
No Checking,15,existing paid,domestic appliance,1262,High,Experienced,4,male single,3,life insurance,36,own,2,skilled,1,yes,1
Medium,10,existing paid,new car,7308,Low,Unemployed,2,male single,4,no known property,70,for free,1,high qualif/self emp/mgmt,1,yes,1
No Checking,36,existing paid,new car,909,High,Expert,4,male single,4,life insurance,36,own,1,skilled,1,yes,1
No Checking,6,existing paid,furniture/equipment,2978,High,Professional,1,male single,2,car,32,own,1,skilled,1,yes,1
Low,18,existing paid,furniture/equipment,1131,Low,Unemployed,4,female div/dep/mar,2,car,33,own,1,skilled,1,yes,0
Medium,11,existing paid,furniture/equipment,1577,High,Amateur,4,female div/dep/mar,1,real estate,20,own,1,skilled,1,yes,1
No Checking,24,existing paid,furniture/equipment,3972,Low,Experienced,2,female div/dep/mar,4,life insurance,25,rent,1,skilled,1,yes,1
Medium,24,critical/other existing credit,business,1935,Low,Expert,4,male div/sep,4,real estate,31,own,2,skilled,1,yes,0
Low,15,no credits/all paid,new car,950,Low,Expert,4,male single,3,car,33,rent,2,skilled,2,yes,0
No Checking,12,existing paid,furniture/equipment,763,Low,Professional,4,female div/dep/mar,1,real estate,26,own,1,skilled,1,yes,1
Medium,24,delayed previously,furniture/equipment,2064,Low,Unemployed,3,female div/dep/mar,2,life insurance,34,own,1,high qualif/self emp/mgmt,1,yes,0
Medium,8,existing paid,radio/tv,1414,Low,Professional,4,male single,2,real estate,33,own,1,skilled,1,no,1
Low,21,delayed previously,education,3414,Low,Amateur,2,male single,1,life insurance,26,own,2,skilled,1,yes,0
No Checking,30,all paid,used car,7485,No Savings,Unemployed,4,female div/dep/mar,1,real estate,53,own,1,high qualif/self emp/mgmt,1,yes,0
Low,12,existing paid,furniture/equipment,2577,Low,Professional,2,male div/sep,1,car,42,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,radio/tv,338,High,Expert,4,male single,4,car,52,own,2,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,1963,Low,Experienced,4,male single,2,car,31,rent,2,high qualif/self emp/mgmt,2,yes,1
Low,21,critical/other existing credit,new car,571,Low,Expert,4,male single,4,real estate,65,own,2,skilled,1,yes,1
No Checking,36,delayed previously,business,9572,Low,Amateur,1,male div/sep,1,car,28,own,2,skilled,1,yes,0
Medium,36,delayed previously,business,4455,Low,Professional,2,male div/sep,2,real estate,30,own,2,high qualif/self emp/mgmt,1,yes,0
Low,21,all paid,new car,1647,No Savings,Professional,4,male single,2,life insurance,40,own,2,unskilled resident,2,yes,0
No Checking,24,critical/other existing credit,furniture/equipment,3777,High,Professional,4,male single,4,real estate,50,own,1,skilled,1,yes,1
Medium,18,critical/other existing credit,new car,884,Low,Expert,4,male single,4,car,36,own,1,skilled,2,yes,0
No Checking,15,critical/other existing credit,radio/tv,1360,Low,Professional,4,male single,2,life insurance,31,own,2,skilled,1,yes,1
Medium,9,all paid,used car,5129,Low,Expert,2,female div/dep/mar,4,no known property,74,for free,1,high qualif/self emp/mgmt,2,yes,0
Medium,16,critical/other existing credit,new car,1175,Low,Unemployed,2,male single,3,car,68,for free,3,unemp/unskilled non res,1,yes,1
Low,12,existing paid,radio/tv,674,Medium,Experienced,4,male mar/wid,1,life insurance,20,own,1,skilled,1,yes,0
Medium,18,no credits/all paid,furniture/equipment,3244,Low,Professional,1,female div/dep/mar,4,car,33,own,2,skilled,1,yes,1
No Checking,24,existing paid,business,4591,High,Professional,2,male single,3,life insurance,54,own,3,high qualif/self emp/mgmt,1,yes,0
Medium,48,no credits/all paid,business,3844,Medium,Experienced,4,male single,4,no known property,34,for free,1,unskilled resident,2,yes,0
Medium,27,existing paid,business,3915,Low,Professional,4,male single,2,car,36,own,1,skilled,2,yes,0
No Checking,6,existing paid,radio/tv,2108,Low,Experienced,2,male mar/wid,2,real estate,29,rent,1,skilled,1,yes,1
Medium,45,existing paid,radio/tv,3031,Medium,Professional,4,male single,4,life insurance,21,rent,1,skilled,1,yes,0
Medium,9,critical/other existing credit,education,1501,Low,Expert,2,female div/dep/mar,3,car,34,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,6,critical/other existing credit,radio/tv,1382,Low,Professional,1,female div/dep/mar,1,car,28,own,2,skilled,1,yes,1
Medium,12,existing paid,furniture/equipment,951,Medium,Amateur,4,female div/dep/mar,4,car,27,rent,4,skilled,1,yes,0
Medium,24,existing paid,used car,2760,No Savings,Expert,4,male single,4,no known property,36,for free,1,skilled,1,yes,1
Medium,18,delayed previously,furniture/equipment,4297,Low,Expert,4,male div/sep,3,no known property,40,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,9,critical/other existing credit,education,936,High,Expert,4,male single,2,car,52,own,2,skilled,1,yes,1
Low,12,existing paid,new car,1168,Low,Professional,4,male mar/wid,3,real estate,27,own,1,unskilled resident,1,yes,1
No Checking,27,delayed previously,business,5117,Low,Experienced,3,male single,4,car,26,own,2,skilled,1,yes,1
Low,12,existing paid,retraining,902,Low,Experienced,4,male mar/wid,4,life insurance,21,rent,1,skilled,1,yes,0
No Checking,12,critical/other existing credit,new car,1495,Low,Expert,4,male single,1,real estate,38,own,2,unskilled resident,2,yes,1
Low,30,critical/other existing credit,used car,10623,Low,Expert,3,male single,4,no known property,38,for free,3,high qualif/self emp/mgmt,2,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,1935,Low,Expert,4,male single,4,real estate,43,own,3,skilled,1,yes,1
Medium,12,critical/other existing credit,domestic appliance,1424,Low,Experienced,4,male single,3,life insurance,26,own,1,skilled,1,yes,1
Low,24,existing paid,business,6568,Low,Professional,2,male mar/wid,2,car,21,own,1,unskilled resident,1,yes,1
No Checking,12,existing paid,used car,1413,High,Experienced,3,male single,2,life insurance,55,own,1,skilled,1,no,1
No Checking,9,critical/other existing credit,radio/tv,3074,No Savings,Professional,1,male single,2,real estate,33,own,2,skilled,2,yes,1
No Checking,36,existing paid,radio/tv,3835,No Savings,Expert,2,female div/dep/mar,4,real estate,45,own,1,unskilled resident,1,yes,1
Low,27,no credits/all paid,business,5293,Low,Unemployed,2,male single,4,life insurance,50,own,2,skilled,1,yes,0
High,30,delayed previously,business,1908,Low,Expert,4,male single,4,real estate,66,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,36,critical/other existing credit,radio/tv,3342,No Savings,Expert,4,male single,2,car,51,own,1,skilled,1,yes,1
Medium,6,critical/other existing credit,retraining,932,No Savings,Experienced,1,female div/dep/mar,3,life insurance,39,own,2,unskilled resident,1,yes,1
Low,18,no credits/all paid,business,3104,Low,Experienced,3,male single,1,life insurance,31,own,1,skilled,1,yes,1
High,36,existing paid,radio/tv,3913,Low,Professional,2,male single,2,real estate,23,own,1,skilled,1,yes,1
Low,24,existing paid,furniture/equipment,3021,Low,Professional,2,male div/sep,2,real estate,24,rent,1,unskilled resident,1,yes,1
No Checking,10,existing paid,new car,1364,Low,Professional,2,female div/dep/mar,4,car,64,own,1,skilled,1,yes,1
Medium,12,existing paid,radio/tv,625,Low,Amateur,4,male mar/wid,1,real estate,26,own,1,unskilled resident,1,yes,1
Low,12,existing paid,education,1200,No Savings,Professional,4,female div/dep/mar,4,life insurance,23,rent,1,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,707,Low,Professional,4,male single,2,real estate,30,own,2,skilled,1,yes,1
No Checking,24,delayed previously,business,2978,No Savings,Professional,4,male single,4,real estate,32,own,2,skilled,2,yes,1
No Checking,15,existing paid,used car,4657,Low,Professional,3,male single,2,car,30,own,1,skilled,1,yes,1
No Checking,36,no credits/all paid,repairs,2613,Low,Professional,4,male single,2,car,27,own,2,skilled,1,yes,1
Medium,48,existing paid,radio/tv,10961,High,Experienced,1,male single,2,no known property,27,own,2,skilled,1,yes,0
Low,12,existing paid,furniture/equipment,7865,Low,Expert,4,male single,4,no known property,53,for free,1,high qualif/self emp/mgmt,1,yes,0
No Checking,9,existing paid,radio/tv,1478,Low,Experienced,4,male single,2,car,22,own,1,skilled,1,yes,0
Low,24,existing paid,furniture/equipment,3149,Low,Amateur,4,male single,1,no known property,22,for free,1,skilled,1,yes,1
High,36,existing paid,radio/tv,4210,Low,Professional,4,male single,2,car,26,own,1,skilled,1,yes,0
