checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,residence_since,property_magnitude,age,housing,existing_credits,job,num_dependents,foreign_worker,class
Medium,9,existing paid,business,1391,Low,1<=X<4,2,male mar/wid,1,real estate,27,own,1,skilled,1,yes,1
Medium,15,critical/other existing credit,radio/tv,1537,No Savings,>=7,4,male single,4,real estate,50,own,2,skilled,1,yes,1
Medium,36,no credits/all paid,business,1953,Low,>=7,4,male single,4,no known property,61,for free,1,high qualif/self emp/mgmt,1,yes,0
Medium,48,no credits/all paid,business,14421,Low,1<=X<4,2,male single,2,car,25,own,1,skilled,1,yes,0
No Checking,24,existing paid,radio/tv,3181,Low,<1,4,female div/dep/mar,4,life insurance,26,own,1,skilled,1,yes,1
No Checking,27,existing paid,repairs,5190,No Savings,>=7,4,male single,4,life insurance,48,own,4,skilled,2,yes,1
No Checking,12,existing paid,radio/tv,2171,Low,<1,2,female div/dep/mar,2,car,29,own,1,skilled,1,yes,1
Medium,12,existing paid,new car,1007,High,1<=X<4,4,male mar/wid,1,real estate,22,own,1,skilled,1,yes,1
No Checking,36,existing paid,education,1819,Low,1<=X<4,4,male single,4,no known property,37,for free,1,skilled,1,yes,0
No Checking,36,existing paid,radio/tv,2394,No Savings,1<=X<4,4,female div/dep/mar,4,car,25,own,1,skilled,1,yes,1
No Checking,36,existing paid,used car,8133,Low,1<=X<4,1,female div/dep/mar,2,life insurance,30,own,1,skilled,1,yes,1
No Checking,7,critical/other existing credit,radio/tv,730,No Savings,>=7,4,male single,2,life insurance,46,rent,2,unskilled resident,1,yes,1
Low,8,critical/other existing credit,other,1164,Low,>=7,3,male single,4,no known property,51,for free,2,high qualif/self emp/mgmt,2,yes,1
Medium,42,critical/other existing credit,business,5954,Low,4<=X<7,2,female div/dep/mar,1,real estate,41,own,2,unskilled resident,1,yes,1
Low,36,existing paid,education,1977,No Savings,>=7,4,male single,4,no known property,40,own,1,high qualif/self emp/mgmt,1,yes,0
Low,12,critical/other existing credit,used car,1526,Low,>=7,4,male single,4,no known property,66,for free,2,high qualif/self emp/mgmt,1,yes,1
Low,42,existing paid,radio/tv,3965,Low,<1,4,male single,3,car,34,own,1,skilled,1,yes,0
Medium,11,delayed previously,radio/tv,4771,Low,4<=X<7,2,male single,4,life insurance,51,own,1,skilled,1,yes,1
No Checking,54,no credits/all paid,used car,9436,No Savings,1<=X<4,2,male single,2,life insurance,39,own,1,unskilled resident,2,yes,1
Medium,30,existing paid,furniture/equipment,3832,Low,<1,2,male mar/wid,1,life insurance,22,own,1,skilled,1,yes,1
No Checking,24,existing paid,radio/tv,5943,No Savings,<1,1,female div/dep/mar,1,car,44,own,2,skilled,1,yes,0
No Checking,15,existing paid,radio/tv,1213,High,>=7,4,male single,3,life insurance,47,own,1,skilled,1,yes,1
No Checking,18,existing paid,business,1568,Medium,1<=X<4,3,female div/dep/mar,4,life insurance,24,rent,1,unskilled resident,1,yes,1
Low,24,existing paid,other,1755,Low,>=7,4,female div/dep/mar,4,real estate,58,own,1,unskilled resident,1,yes,1
Low,10,existing paid,radio/tv,2315,Low,>=7,3,male single,4,real estate,52,own,1,unskilled resident,1,yes,1
No Checking,12,critical/other existing credit,business,1412,Low,1<=X<4,4,female div/dep/mar,2,real estate,29,own,2,high qualif/self emp/mgmt,1,yes,1
Medium,18,critical/other existing credit,furniture/equipment,1295,Low,<1,4,female div/dep/mar,1,life insurance,27,own,2,skilled,1,yes,1
Medium,36,existing paid,education,12612,Medium,1<=X<4,1,male single,4,no known property,47,for free,1,skilled,2,yes,0
Low,18,existing paid,new car,2249,Medium,4<=X<7,4,male single,3,car,30,own,1,high qualif/self emp/mgmt,2,yes,1
Low,12,no credits/all paid,repairs,1108,Low,4<=X<7,4,male single,3,real estate,28,own,2,skilled,1,yes,0
No Checking,12,critical/other existing credit,radio/tv,618,Low,>=7,4,male single,4,real estate,56,own,1,skilled,1,yes,1
Low,12,critical/other existing credit,used car,1409,Low,>=7,4,male single,3,real estate,54,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,797,No Savings,>=7,4,female div/dep/mar,3,life insurance,33,own,1,unskilled resident,2,yes,0
High,24,critical/other existing credit,furniture/equipment,3617,No Savings,>=7,4,male single,4,no known property,20,rent,2,skilled,1,yes,1
Medium,12,existing paid,new car,1318,High,>=7,4,male single,4,real estate,54,own,1,skilled,1,yes,1
Medium,54,no credits/all paid,business,15945,Low,<1,3,male single,4,no known property,58,rent,1,skilled,1,yes,0
No Checking,12,critical/other existing credit,education,2012,No Savings,4<=X<7,4,female div/dep/mar,2,car,61,own,1,skilled,1,yes,1
Medium,18,existing paid,business,2622,Medium,1<=X<4,4,male single,4,car,34,own,1,skilled,1,yes,1
Medium,36,critical/other existing credit,radio/tv,2337,Low,>=7,4,male single,4,real estate,36,own,1,skilled,1,yes,1
Medium,20,delayed previously,used car,7057,No Savings,4<=X<7,3,male single,4,life insurance,36,rent,2,high qualif/self emp/mgmt,2,yes,1
No Checking,24,existing paid,new car,1469,Medium,>=7,4,male mar/wid,4,real estate,41,rent,1,unskilled resident,1,yes,1
Medium,36,existing paid,radio/tv,2323,Low,4<=X<7,4,male single,4,car,24,rent,1,skilled,1,yes,1
No Checking,6,delayed previously,radio/tv,932,Low,1<=X<4,3,female div/dep/mar,2,real estate,24,own,1,skilled,1,yes,1
Medium,9,critical/other existing credit,furniture/equipment,1919,Low,4<=X<7,4,male single,3,car,35,rent,1,skilled,1,yes,1
No Checking,12,existing paid,used car,2445,No Savings,<1,2,male mar/wid,4,car,26,rent,1,skilled,1,yes,1
Medium,24,critical/other existing credit,other,11938,Low,1<=X<4,2,male single,3,car,39,own,2,high qualif/self emp/mgmt,2,yes,0
No Checking,18,all paid,new car,6458,Low,>=7,2,male single,4,no known property,39,own,2,high qualif/self emp/mgmt,2,yes,0
Medium,12,existing paid,new car,6078,Low,4<=X<7,2,male single,2,car,32,own,1,skilled,1,yes,1
Low,24,existing paid,furniture/equipment,7721,No Savings,<1,1,female div/dep/mar,2,life insurance,30,own,1,skilled,1,no,1
Medium,14,existing paid,business,1410,High,>=7,1,male mar/wid,2,real estate,35,own,1,skilled,1,yes,1
Medium,6,delayed previously,business,1449,Medium,>=7,1,male div/sep,2,car,31,own,2,skilled,2,yes,1
High,15,existing paid,education,392,Low,<1,4,female div/dep/mar,4,life insurance,23,rent,1,skilled,1,yes,1
Medium,18,existing paid,new car,6260,Low,4<=X<7,3,male single,3,real estate,28,rent,1,unskilled resident,1,yes,1
No Checking,36,critical/other existing credit,new car,7855,Low,1<=X<4,4,female div/dep/mar,2,real estate,25,own,2,skilled,1,yes,0
Low,12,existing paid,radio/tv,1680,High,>=7,3,male mar/wid,1,real estate,35,own,1,skilled,1,yes,1
No Checking,48,critical/other existing credit,radio/tv,3578,No Savings,>=7,4,male single,1,real estate,47,own,1,skilled,1,yes,1
Low,42,existing paid,radio/tv,7174,No Savings,4<=X<7,4,female div/dep/mar,3,car,30,own,1,high qualif/self emp/mgmt,1,yes,0
Low,10,critical/other existing credit,furniture/equipment,2132,No Savings,<1,2,female div/dep/mar,3,real estate,27,rent,2,skilled,1,no,1
Low,33,critical/other existing credit,furniture/equipment,4281,High,1<=X<4,1,female div/dep/mar,4,car,23,own,2,skilled,1,yes,0
Medium,12,critical/other existing credit,new car,2366,High,4<=X<7,3,male div/sep,3,car,36,own,1,high qualif/self emp/mgmt,1,yes,1
Low,21,existing paid,radio/tv,1835,Low,1<=X<4,3,female div/dep/mar,2,real estate,25,own,2,skilled,1,yes,0
No Checking,24,critical/other existing credit,used car,3868,Low,>=7,4,female div/dep/mar,2,car,41,rent,2,high qualif/self emp/mgmt,1,yes,1
No Checking,12,existing paid,furniture/equipment,1768,Low,1<=X<4,3,male single,2,real estate,24,rent,1,unskilled resident,1,yes,1
High,10,critical/other existing credit,new car,781,Low,>=7,4,male single,4,no known property,63,for free,2,skilled,1,yes,1
Medium,18,existing paid,furniture/equipment,1924,No Savings,<1,4,female div/dep/mar,3,real estate,27,rent,1,skilled,1,yes,0
Low,12,critical/other existing credit,new car,2121,Low,1<=X<4,4,male single,2,life insurance,30,own,2,skilled,1,yes,1
Low,12,existing paid,radio/tv,701,Low,1<=X<4,4,male mar/wid,2,real estate,40,own,1,unskilled resident,1,yes,1
Medium,12,existing paid,repairs,639,Low,1<=X<4,4,male single,2,car,30,own,1,skilled,1,yes,0
Medium,12,critical/other existing credit,used car,1860,Low,unemployed,4,male single,2,car,34,own,2,high qualif/self emp/mgmt,1,yes,1
Low,12,critical/other existing credit,new car,3499,Low,1<=X<4,3,female div/dep/mar,2,real estate,29,own,2,skilled,1,yes,0
Medium,48,existing paid,new car,8487,No Savings,4<=X<7,1,female div/dep/mar,2,car,24,own,1,skilled,1,yes,1
Low,36,delayed previously,education,6887,Low,1<=X<4,4,male single,3,life insurance,29,own,1,skilled,1,yes,0
No Checking,15,existing paid,furniture/equipment,2708,Low,<1,2,male single,3,life insurance,27,own,2,unskilled resident,1,yes,1
No Checking,18,existing paid,furniture/equipment,1984,Low,1<=X<4,4,male single,4,no known property,47,for free,2,skilled,1,yes,1
No Checking,60,existing paid,radio/tv,10144,Medium,4<=X<7,2,female div/dep/mar,4,real estate,21,own,1,skilled,1,yes,1
No Checking,12,critical/other existing credit,radio/tv,1240,No Savings,>=7,4,female div/dep/mar,2,real estate,38,own,2,skilled,1,yes,1
No Checking,27,delayed previously,used car,8613,High,1<=X<4,2,male single,2,car,27,own,2,skilled,1,yes,1
Medium,12,existing paid,radio/tv,766,High,1<=X<4,4,male single,3,real estate,66,own,1,unskilled resident,1,yes,0
Medium,15,critical/other existing credit,radio/tv,2728,No Savings,4<=X<7,4,male single,2,real estate,35,own,3,skilled,1,yes,1
High,12,existing paid,radio/tv,1881,Low,1<=X<4,2,female div/dep/mar,2,car,44,rent,1,unskilled resident,1,yes,1
High,6,existing paid,new car,709,High,<1,2,male mar/wid,2,real estate,27,own,1,unemp/unskilled non res,1,no,1
Medium,36,existing paid,radio/tv,4795,Low,<1,4,female div/dep/mar,1,no known property,30,own,1,high qualif/self emp/mgmt,1,yes,1
Low,27,existing paid,radio/tv,3416,Low,1<=X<4,3,male single,2,car,27,own,1,high qualif/self emp/mgmt,1,yes,1
Low,18,existing paid,furniture/equipment,2462,Low,1<=X<4,2,male single,2,car,22,own,1,skilled,1,yes,0
No Checking,21,critical/other existing credit,furniture/equipment,2288,Low,<1,4,female div/dep/mar,4,life insurance,23,own,1,skilled,1,yes,1
Medium,48,all paid,business,3566,Medium,4<=X<7,4,male single,2,car,30,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,new car,860,Low,>=7,1,female div/dep/mar,4,no known property,39,own,2,skilled,1,yes,1
No Checking,12,critical/other existing credit,new car,682,Medium,4<=X<7,4,female div/dep/mar,3,car,51,own,2,skilled,1,yes,1
Low,36,critical/other existing credit,furniture/equipment,5371,Low,1<=X<4,3,male single,2,life insurance,28,own,2,skilled,1,yes,1
No Checking,18,critical/other existing credit,radio/tv,1582,High,>=7,4,male single,4,car,46,own,2,skilled,1,yes,1
No Checking,6,existing paid,radio/tv,1346,Medium,>=7,2,male single,4,no known property,42,for free,1,skilled,2,yes,1
No Checking,10,existing paid,radio/tv,1924,Low,1<=X<4,1,male single,4,life insurance,38,own,1,skilled,1,no,1
High,36,existing paid,radio/tv,5848,Low,1<=X<4,4,male single,1,car,24,own,1,skilled,1,yes,1
Medium,24,critical/other existing credit,used car,7758,High,>=7,2,female div/dep/mar,4,no known property,29,rent,1,skilled,1,yes,1
Medium,24,delayed previously,business,6967,Medium,4<=X<7,4,male single,4,car,36,rent,1,high qualif/self emp/mgmt,1,yes,1
Low,12,existing paid,furniture/equipment,1282,Low,1<=X<4,2,female div/dep/mar,4,car,20,rent,1,skilled,1,yes,0
Low,9,critical/other existing credit,repairs,1288,Medium,>=7,3,male single,4,real estate,48,own,2,skilled,2,no,1
Low,12,all paid,retraining,339,Low,>=7,4,male mar/wid,1,car,45,own,1,unskilled resident,1,yes,1
Medium,24,existing paid,new car,3512,Medium,4<=X<7,2,male single,3,car,38,own,2,skilled,1,yes,1
No Checking,6,critical/other existing credit,radio/tv,1898,No Savings,1<=X<4,1,male single,2,real estate,34,own,2,unskilled resident,2,yes,1
No Checking,24,critical/other existing credit,radio/tv,2872,Medium,>=7,3,male single,4,real estate,36,own,1,skilled,2,yes,1
No Checking,18,critical/other existing credit,new car,1055,Low,<1,4,female div/dep/mar,1,life insurance,30,own,2,skilled,1,yes,1
No Checking,15,existing paid,domestic appliance,1262,High,4<=X<7,4,male single,3,life insurance,36,own,2,skilled,1,yes,1
Medium,10,existing paid,new car,7308,Low,unemployed,2,male single,4,no known property,70,for free,1,high qualif/self emp/mgmt,1,yes,1
No Checking,36,existing paid,new car,909,High,>=7,4,male single,4,life insurance,36,own,1,skilled,1,yes,1
No Checking,6,existing paid,furniture/equipment,2978,High,1<=X<4,1,male single,2,car,32,own,1,skilled,1,yes,1
Low,18,existing paid,furniture/equipment,1131,Low,unemployed,4,female div/dep/mar,2,car,33,own,1,skilled,1,yes,0
Medium,11,existing paid,furniture/equipment,1577,High,<1,4,female div/dep/mar,1,real estate,20,own,1,skilled,1,yes,1
No Checking,24,existing paid,furniture/equipment,3972,Low,4<=X<7,2,female div/dep/mar,4,life insurance,25,rent,1,skilled,1,yes,1
Medium,24,critical/other existing credit,business,1935,Low,>=7,4,male div/sep,4,real estate,31,own,2,skilled,1,yes,0
Low,15,no credits/all paid,new car,950,Low,>=7,4,male single,3,car,33,rent,2,skilled,2,yes,0
No Checking,12,existing paid,furniture/equipment,763,Low,1<=X<4,4,female div/dep/mar,1,real estate,26,own,1,skilled,1,yes,1
Medium,24,delayed previously,furniture/equipment,2064,Low,unemployed,3,female div/dep/mar,2,life insurance,34,own,1,high qualif/self emp/mgmt,1,yes,0
Medium,8,existing paid,radio/tv,1414,Low,1<=X<4,4,male single,2,real estate,33,own,1,skilled,1,no,1
Low,21,delayed previously,education,3414,Low,<1,2,male single,1,life insurance,26,own,2,skilled,1,yes,0
No Checking,30,all paid,used car,7485,No Savings,unemployed,4,female div/dep/mar,1,real estate,53,own,1,high qualif/self emp/mgmt,1,yes,0
Low,12,existing paid,furniture/equipment,2577,Low,1<=X<4,2,male div/sep,1,car,42,own,1,skilled,1,yes,1
Low,6,critical/other existing credit,radio/tv,338,High,>=7,4,male single,4,car,52,own,2,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,1963,Low,4<=X<7,4,male single,2,car,31,rent,2,high qualif/self emp/mgmt,2,yes,1
Low,21,critical/other existing credit,new car,571,Low,>=7,4,male single,4,real estate,65,own,2,skilled,1,yes,1
No Checking,36,delayed previously,business,9572,Low,<1,1,male div/sep,1,car,28,own,2,skilled,1,yes,0
Medium,36,delayed previously,business,4455,Low,1<=X<4,2,male div/sep,2,real estate,30,own,2,high qualif/self emp/mgmt,1,yes,0
Low,21,all paid,new car,1647,No Savings,1<=X<4,4,male single,2,life insurance,40,own,2,unskilled resident,2,yes,0
No Checking,24,critical/other existing credit,furniture/equipment,3777,High,1<=X<4,4,male single,4,real estate,50,own,1,skilled,1,yes,1
Medium,18,critical/other existing credit,new car,884,Low,>=7,4,male single,4,car,36,own,1,skilled,2,yes,0
No Checking,15,critical/other existing credit,radio/tv,1360,Low,1<=X<4,4,male single,2,life insurance,31,own,2,skilled,1,yes,1
Medium,9,all paid,used car,5129,Low,>=7,2,female div/dep/mar,4,no known property,74,for free,1,high qualif/self emp/mgmt,2,yes,0
Medium,16,critical/other existing credit,new car,1175,Low,unemployed,2,male single,3,car,68,for free,3,unemp/unskilled non res,1,yes,1
Low,12,existing paid,radio/tv,674,Medium,4<=X<7,4,male mar/wid,1,life insurance,20,own,1,skilled,1,yes,0
Medium,18,no credits/all paid,furniture/equipment,3244,Low,1<=X<4,1,female div/dep/mar,4,car,33,own,2,skilled,1,yes,1
No Checking,24,existing paid,business,4591,High,1<=X<4,2,male single,3,life insurance,54,own,3,high qualif/self emp/mgmt,1,yes,0
Medium,48,no credits/all paid,business,3844,Medium,4<=X<7,4,male single,4,no known property,34,for free,1,unskilled resident,2,yes,0
Medium,27,existing paid,business,3915,Low,1<=X<4,4,male single,2,car,36,own,1,skilled,2,yes,0
No Checking,6,existing paid,radio/tv,2108,Low,4<=X<7,2,male mar/wid,2,real estate,29,rent,1,skilled,1,yes,1
Medium,45,existing paid,radio/tv,3031,Medium,1<=X<4,4,male single,4,life insurance,21,rent,1,skilled,1,yes,0
Medium,9,critical/other existing credit,education,1501,Low,>=7,2,female div/dep/mar,3,car,34,own,2,high qualif/self emp/mgmt,1,yes,0
No Checking,6,critical/other existing credit,radio/tv,1382,Low,1<=X<4,1,female div/dep/mar,1,car,28,own,2,skilled,1,yes,1
Medium,12,existing paid,furniture/equipment,951,Medium,<1,4,female div/dep/mar,4,car,27,rent,4,skilled,1,yes,0
Medium,24,existing paid,used car,2760,No Savings,>=7,4,male single,4,no known property,36,for free,1,skilled,1,yes,1
Medium,18,delayed previously,furniture/equipment,4297,Low,>=7,4,male div/sep,3,no known property,40,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,9,critical/other existing credit,education,936,High,>=7,4,male single,2,car,52,own,2,skilled,1,yes,1
Low,12,existing paid,new car,1168,Low,1<=X<4,4,male mar/wid,3,real estate,27,own,1,unskilled resident,1,yes,1
No Checking,27,delayed previously,business,5117,Low,4<=X<7,3,male single,4,car,26,own,2,skilled,1,yes,1
Low,12,existing paid,retraining,902,Low,4<=X<7,4,male mar/wid,4,life insurance,21,rent,1,skilled,1,yes,0
No Checking,12,critical/other existing credit,new car,1495,Low,>=7,4,male single,1,real estate,38,own,2,unskilled resident,2,yes,1
Low,30,critical/other existing credit,used car,10623,Low,>=7,3,male single,4,no known property,38,for free,3,high qualif/self emp/mgmt,2,yes,1
No Checking,12,critical/other existing credit,furniture/equipment,1935,Low,>=7,4,male single,4,real estate,43,own,3,skilled,1,yes,1
Medium,12,critical/other existing credit,domestic appliance,1424,Low,4<=X<7,4,male single,3,life insurance,26,own,1,skilled,1,yes,1
Low,24,existing paid,business,6568,Low,1<=X<4,2,male mar/wid,2,car,21,own,1,unskilled resident,1,yes,1
No Checking,12,existing paid,used car,1413,High,4<=X<7,3,male single,2,life insurance,55,own,1,skilled,1,no,1
No Checking,9,critical/other existing credit,radio/tv,3074,No Savings,1<=X<4,1,male single,2,real estate,33,own,2,skilled,2,yes,1
No Checking,36,existing paid,radio/tv,3835,No Savings,>=7,2,female div/dep/mar,4,real estate,45,own,1,unskilled resident,1,yes,1
Low,27,no credits/all paid,business,5293,Low,unemployed,2,male single,4,life insurance,50,own,2,skilled,1,yes,0
High,30,delayed previously,business,1908,Low,>=7,4,male single,4,real estate,66,own,1,high qualif/self emp/mgmt,1,yes,0
No Checking,36,critical/other existing credit,radio/tv,3342,No Savings,>=7,4,male single,2,car,51,own,1,skilled,1,yes,1
Medium,6,critical/other existing credit,retraining,932,No Savings,4<=X<7,1,female div/dep/mar,3,life insurance,39,own,2,unskilled resident,1,yes,1
Low,18,no credits/all paid,business,3104,Low,4<=X<7,3,male single,1,life insurance,31,own,1,skilled,1,yes,1
High,36,existing paid,radio/tv,3913,Low,1<=X<4,2,male single,2,real estate,23,own,1,skilled,1,yes,1
Low,24,existing paid,furniture/equipment,3021,Low,1<=X<4,2,male div/sep,2,real estate,24,rent,1,unskilled resident,1,yes,1
No Checking,10,existing paid,new car,1364,Low,1<=X<4,2,female div/dep/mar,4,car,64,own,1,skilled,1,yes,1
Medium,12,existing paid,radio/tv,625,Low,<1,4,male mar/wid,1,real estate,26,own,1,unskilled resident,1,yes,1
Low,12,existing paid,education,1200,No Savings,1<=X<4,4,female div/dep/mar,4,life insurance,23,rent,1,skilled,1,yes,1
No Checking,12,existing paid,radio/tv,707,Low,1<=X<4,4,male single,2,real estate,30,own,2,skilled,1,yes,1
No Checking,24,delayed previously,business,2978,No Savings,1<=X<4,4,male single,4,real estate,32,own,2,skilled,2,yes,1
No Checking,15,existing paid,used car,4657,Low,1<=X<4,3,male single,2,car,30,own,1,skilled,1,yes,1
No Checking,36,no credits/all paid,repairs,2613,Low,1<=X<4,4,male single,2,car,27,own,2,skilled,1,yes,1
Medium,48,existing paid,radio/tv,10961,High,4<=X<7,1,male single,2,no known property,27,own,2,skilled,1,yes,0
